CLASE_DE_ACCIDENTE,GRAVEDAD,VIAS,CORREGIMIENTO,DÍA_SEMANA,FECHA_DE_OCURRENCIA,TIPO_DIA,HORA_OCURRENCIA
CHOQUE,HERIDOS,CANDELARIA-CALI,JUANCHITO,SABADO,2023-06-17,Fin de semana,20:00:00
CHOQUE,MUERTOS,CALI-FLORIDA,CANDELARIA,LUNES,2023-06-19,Entre semana,19:00:00
CAIDA OCUPANTE,HERIDOS,CR 37 CALLE 14F,JUANCHITO,MARTES,2023-06-27,Entre semana,08:00:00
ATROPELLO,MUERTOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2023-06-28,Entre semana,05:00:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,CANDELARIA,SABADO,2023-07-01,Fin de semana,14:00:00
VOLCAMIENTO,HERIDOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2023-07-02,Fin de semana,03:00:00
CHOQUE,HERIDOS,CR 37 CON CALLE 15 D,JUANCHITO,DOMINGO,2023-07-02,Fin de semana,18:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2023-07-05,Entre semana,15:00:00
CHOQUE,HERIDOS,CANDELARIA-CALI,JUANCHITO,DOMINGO,2023-07-09,Fin de semana,09:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,VIERNES,2023-07-14,Entre semana,06:00:00
CHOQUE,HERIDOS,PALMIRA-VILLARICA,CANDELARIA,VIERNES,2023-07-14,Entre semana,15:00:00
CHOQUE,MUERTOS,CALI-CANDELARIA,EL CARMELO,DOMINGO,2023-07-16,Fin de semana,22:00:00
CHOQUE,HERIDOS,CANDELARIA-PRADERA,CANDELARIA,LUNES,2023-07-17,Entre semana,12:00:00
CAIDA OCUPANTE,HERIDOS,CALI-CANDELARIA,EL CARMELO,DOMINGO,2023-07-16,Fin de semana,14:00:00
CHOQUE,HERIDOS,POBLADO CAMPESTRE,JUANCHITO,DOMINGO,2022-07-23,Fin de semana,19:00:00
CHOQUE,HERIDOS,FLORIDA-CALI,CANDELARIA,MIERCOLES,2023-07-19,Entre semana,10:00:00
ATROPELLO,HERIDOS,CALI-CANDELARIA,JUANCHITO,MIERCOLES,2023-07-26,Entre semana,07:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,JUEVES,2023-07-29,Entre semana,17:00:00
CHOQUE,HERIDOS,CALLE 12 CON CR 45,JUANCHITO,DOMINGO,2023-07-30,Fin de semana,22:00:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,CANDELARIA,MIERCOLES,2023-08-02,Entre semana,17:00:00
CHOQUE,MUERTOS,VILLARICA-PALMIRA,EL ARENAL,VIERNES,2023-08-04,Entre semana,18:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2023-08-06,Fin de semana,20:00:00
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,MIERCOLES,2023-08-09,Entre semana,16:00:00
CHOQUE,MUERTOS,CALI-CANDELARIA,VILLAGORGONA,JUEVES,2023-08-10,Entre semana,14:00:00
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL ARENAL,SABADO,2023-08-12,Fin de semana,18:00:00
CHOQUE,MUERTOS,PUERTOTEJADA-PALMIRA,EL LAURO,LUNES,2023-08-14,Entre semana,06:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MARTES,2023-08-15,Entre semana,07:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,VIERNES,2023-08-18,Entre semana,18:00:00
ATROPELLO,MUERTOS,VILLARICA-PALMIRA,EL ARENAL,DOMINGO,2023-08-20,Fin de semana,19:00:00
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2023-08-24,Entre semana,02:00:00
CHOQUE,HERIDOS,CARRERA 12 CON CALLE 13,CANDELARIA,MARTES,2023-08-29,Entre semana,12:00:00
CHOQUE,HERIDOS,CANDELARIA-CALI,JUANCHITO,VIERNES,2023-09-01,Entre semana,13:00:00
