CLASE DE ACCIDENTE,GRAVEDAD,VIAS,CORREGIMIENTO,DÍA SEMANA,FECHA DE OCURRECIA,HORA OCURRENCIA
CHOQUE,HERIDOS,CALI-CANDELARIA,EL CARMELO,SABADO,2021-04-17,1:10:00 PM
CHOQUE,HERIDOS,CANDELARIA,EL CABUYAL,DOMINGO,2021-04-18,12:50:00 PM
CHOQUE,DAÑOS,CALI-FLORIDA,LA REGINA,LUNES,2021-04-19,9:40:00 AM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,LUNES,2021-04-19,2:30:00 PM
CHOQUE,DAÑOS,CANDELARIA,CANDELARIA,MARTES,2021-04-20,7:20:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-04-20,5:00:00 PM
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL CABUYAL,MIERCOLES,2021-04-21,4:10:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,JUEVES,2021-04-22,6:30:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-04-27,7:10:00 AM
CHOQUE,DAÑOS,CANDELARIA,SAN JOAQUIN,VIERNES,2021-04-23,10:20:00 AM
CHOQUE,HERIDOS,CALI-FLORIDA,EL CARMELO,DOMINGO,2021-04-25,9:00:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-04-25,5:40:00 PM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,CANDELARIA,MARTES,2021-04-27,4:00:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,MARTES,2021-04-27,7:15:00 PM
CHOQUE,MUERTOS,VILLARICA-PALMIRA,EL CABUYAL,MIERCOLES,2021-05-12,9:00:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,VIERNES,2021-05-14,2:45:00 PM
CHOQUE,MUERTOS,CALI-CANDELARIA,VILLAGORGONA,VIERNES,2021-05-14,2:05:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,DOMINGO,2021-05-16,10:20:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,CANDELARIA,VIERNES,2021-05-21,3:30:00 PM
ATROPELLO,HERIDOS,VILLARICA-PALMIRA,CANDELARIA,DOMINGO,2021-05-23,8:20:00 PM
CHOQUE,HERIDOS,CANDELARIA,VILLAGORGONA,MIERCOLES,2021-05-26,3:47:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-05-29,6:10:00 AM
CHOQUE,HERIDOS,VILLARICA-PALMIRA,EL LAURO,DOMINGO,2021-05-30,1:20:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,MARTES,2021-06-01,7:40:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,JUEVES,2021-06-03,11:40:00 AM
VOLCAMIENTO,MUERTOS,CALI-FLORIDA,LA REGINA,VIERNES,2021-06-04,4:00:00 PM
CHOQUE,HERIDOS,CALI-CANDELARIA,JUANCHITO,SABADO,2021-06-05,10:20:00 AM
CHOQUE,HERIDOS,CALI-CANDELARIA,VILLAGORGONA,LUNES,2021-06-07,9:20:00 PM
CHOQUE,DAÑOS,CALI-CANDELARIA,VILLAGORGONA,JUEVES,2021-06-10,1:35:00 PM
CHOQUE,HERIDOS,CANDELARIA,CANDELARIA,JUEVES,2021-06-10,5:15:00 PM
CHOQUE,DAÑOS,VILLARICA-PALMIRA,EL CABUYAL,VIERNES,2021-06-11,6:58:00 AM
